fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	force_row_wise	seed	learning_rate	lambda_l1	lambda_l2	min_gain_to_split	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20240521 004657	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	279	TRUE	445679	0.0903900461343029	1.32745168128943	0.733100850697471	0.000352499278725033	0.998998152868333	770	970	11426	61485000	118
20240521 004808	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	178	TRUE	445679	0.073857208641845	1.34617502270553	0.285883425052484	0.000600496456155257	0.981978774871636	1148	943	10509	60885000	119
20240521 005532	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1430	TRUE	445679	0.0158588432933274	0.56936739723796	8.66643980818115	0.542283822299137	0.435005893059428	6160	216	13060	58740000	120
20240521 005632	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	92	TRUE	445679	0.144904020406098	2.60205646491782	8.7274916795595	0.0923715719542623	0.610049299438429	107	1023	10110	60990000	121
20240521 005738	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	144	TRUE	445679	0.15020978339831	2.65469033306869	9.43217938232363	0.0350481846296562	0.657159404304352	143	1020	11654	59010000	122
20240521 005836	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	68	TRUE	445679	0.147931539613327	0.209486308182565	7.99515116263877	0.283351282061704	0.552779659610405	794	704	9465	60165000	123
20240521 005921	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	60	TRUE	445679	0.235822573806175	2.93539986564853	9.89240173050354	0.153099922313953	0.531721788794466	576	1024	9763	59280000	124
20240521 010056	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	283	TRUE	445679	0.121234069566851	0.97953437681584	0.261581937115387	0.00100482732667184	0.922687820248986	2396	940	12548	60045000	125
20240521 010202	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	206	TRUE	445679	0.124182241324642	2.64995295979018	0.840849761269101	0.0714199318102375	0.714605844992236	1923	778	10240	60120000	126
20240521 010233	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	76	TRUE	445679	0.218646699638098	0.143305188043885	6.81299233685273	0.994469038752142	0.60314982016866	4439	29	11621	58020000	127
20240521 010320	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	135	TRUE	445679	0.299826958663241	0.0566450063466174	3.88504868321759	0.0171875176675091	0.2020272473761	6731	1021	10131	59250000	128
20240521 010347	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	62	TRUE	445679	0.161632962623352	0.881627556918804	7.18079307186911	0.000989339252363304	0.608784414671584	7827	1024	9947	57045000	129
20240521 010435	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	208	TRUE	445679	0.0864274719186877	9.45329493598468	7.54846264636722	0.0132521906604984	0.99463155467373	7200	161	11704	58020000	130
20240521 010501	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	50	TRUE	445679	0.297215489609824	0.697844781758686	0.284993154664204	0.912814959365893	0.200037023612223	7920	655	10741	57540000	131
